trial,description,gpu_type,rank_metric,rank_score,val_return,val_sortino,val_wr,val_profitable_pct,train_return,train_sortino,train_wr,train_steps,elapsed_s,error,holdout_error,market_validation_error,replay_eval_error,holdout_robust_score,holdout_return_mean_pct,holdout_return_p25_pct,holdout_return_worst_pct,holdout_sortino_p25,holdout_max_drawdown_worst_pct,holdout_negative_return_rate,holdout_median_return_pct,holdout_p10_return_pct,holdout_median_sortino,holdout_p90_max_drawdown_pct,market_return_pct,market_sortino,market_max_drawdown_pct,market_trade_count,market_goodness_score,replay_daily_return_pct,replay_daily_sortino,replay_daily_max_drawdown_pct,replay_daily_trade_count,replay_hourly_return_pct,replay_hourly_sortino,replay_hourly_max_drawdown_pct,replay_hourly_trade_count,replay_hourly_order_count,replay_hourly_policy_return_pct,replay_hourly_policy_sortino,replay_hourly_policy_max_drawdown_pct,replay_hourly_policy_trade_count,replay_hourly_policy_order_count,smooth_score,smooth_error,smooth_5d_p10_sortino,smooth_15d_p10_sortino,smooth_30d_p10_sortino,smooth_60d_p10_sortino,smooth_90d_p10_sortino,hidden_size,lr,ent_coef,weight_decay,fill_slippage_bps,obs_norm,anneal_lr,anneal_ent,anneal_clip,lr_schedule,arch,fee_rate,trade_penalty,drawdown_penalty,downside_penalty,smooth_downside_penalty,smooth_downside_temperature,smoothness_penalty,gamma
0,q_wd01_tp05_slip5_s42,a40,holdout_robust_score,-98.5262112515865,0.5598,1.68,0.6206,77.0,1.3768,1.94,0.38,9306112,65.21168541908264,,,,,-98.5262112515865,35.745154050385395,-9.45505565116679,-30.358186486710437,-0.5509369027396627,37.29707034487861,0.4,8.940497458729405,-17.244121309527994,1.2453049068271929,37.0541273157869,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
1,q_wd01_tp05_slip5_s123,a40,holdout_robust_score,-159.53180315220817,0.325,0.91,0.4847,76.0,1.4268,1.49,0.37,9306112,62.249327659606934,,,,,-159.53180315220817,23.47540938738018,-22.723547521583328,-46.424862611395525,-1.6084070254420952,51.270393309911235,0.55,-14.943437190160894,-31.938323397357156,-0.8622685411950068,46.644597936575536,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
2,q_wd01_tp05_slip5_s777,a40,holdout_robust_score,-68.05721140380501,-0.0776,-0.83,0.4932,4.0,1.3606,2.0,0.39,9306112,60.63466167449951,,,,,-68.05721140380501,-2.2968448082209254,-6.019853190922063,-9.716269836627326,-1.387392055987853,14.861172350620574,0.6,-1.5392811787724532,-9.40734173061158,-0.42280515495322246,13.621722036019083,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
3,q_wd01_tp05_slip5_s1137,a40,holdout_robust_score,-205.5047543590119,0.3896,1.25,0.742,81.0,1.7074,1.82,0.42,9306112,58.61149978637695,,,,,-205.5047543590119,13.466363738287683,-29.462196309524522,-62.0971942628356,-1.203722758851222,67.70635347045297,0.55,-3.7166773174462917,-51.684090737522595,0.02767353494780575,65.47950835169277,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
4,q_wd01_tp05_slip5_s5678,a40,holdout_robust_score,-139.6619720327261,0.2221,0.84,0.5275,73.0,1.6518,1.93,0.4,9306112,59.66583490371704,,,,,-139.6619720327261,4.7846497531801875,-15.735582224476273,-36.93249779614968,-1.5787251189778155,37.27639973837139,0.65,-8.51390133329298,-27.79906807348277,-0.6048506709897734,36.543792905560906,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
5,q_wd01_tp05_slip5_s9621,a40,holdout_robust_score,-114.06752857300319,0.2176,1.05,0.4756,84.0,1.0999,1.43,0.35,9306112,60.33101987838745,,,,,-114.06752857300319,6.747065179987246,-12.407616960587848,-28.93209683324427,-0.8332299495919706,39.39899206642156,0.45,4.009359676195936,-20.887760361900064,0.8635815187769073,37.05412731578691,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
6,q_wd01_tp05_slip8,a40,holdout_robust_score,-86.96215393461142,0.0396,0.3,0.442,55.0,-0.1029,-0.35,0.34,9306112,81.82905292510986,,,,,-86.96215393461142,-1.8531325787892325,-7.925751475411065,-14.208413878813317,-0.9677381384954744,31.418027057588173,0.55,-5.379593264404265,-13.070819611817827,-0.4614671679206226,26.315768108840587,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,8.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
7,q_wd01_tp05_slip10,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,0.0186,0.18,0.36,9306112,84.72522234916687,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,10.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
8,q_wd01_tp05_slip12,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1068,-0.37,0.34,9306112,85.44301128387451,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,12.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
9,q_wd01_tp05_slip15,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.0995,-0.34,0.34,9306112,104.65517473220825,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,15.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
10,q_wd005_tp05_slip5,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1137,-0.4,0.34,9306112,90.0715548992157,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.005,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
11,q_wd02_tp05_slip5,a40,holdout_robust_score,-87.21244678108773,0.011,0.25,0.4083,58.0,0.0106,0.12,0.36,9306112,90.00484919548035,,,,,-87.21244678108773,-1.3158905984903932,-10.406698969237304,-17.68063624041286,-1.292035261635434,22.53264996070238,0.55,-4.51115580538667,-16.592604295636395,-0.6120822015454775,19.516158614362343,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.02,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
12,q_wd05_tp05_slip5,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1085,-0.38,0.34,9306112,107.00236463546753,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.05,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
13,q_lr1e4_wd01_tp05_slip5_s777,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1468,-0.44,0.35,9306112,94.61917281150818,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
14,q_lr1e4_wd01_tp05_slip5_s1137,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1343,-0.47,0.37,9306112,93.74362516403198,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
15,q_lr1e4_wd01_tp05_slip5_s42,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1128,-0.38,0.34,9306112,91.91429877281189,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0001,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
16,q_lr2e4_wd01_tp05_slip5_s777,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1411,-0.42,0.35,9306112,102.4686164855957,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0002,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
17,q_wd01_tp03_slip5,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1039,-0.35,0.34,9306112,108.47440075874329,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.03,0.0,0.0,0.0,0.02,0.0,0.99
18,q_wd01_tp08_slip5,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.116,-0.41,0.34,9306112,104.84810829162598,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.08,0.0,0.0,0.0,0.02,0.0,0.99
19,q_wd01_tp10_slip5,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1188,-0.44,0.33,9306112,106.79016184806824,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,False,True,False,False,none,mlp,0.001,0.1,0.0,0.0,0.0,0.02,0.0,0.99
20,q_wd02_tp05_slip10,a40,holdout_robust_score,-87.18598263390034,0.011,0.25,0.4083,58.0,-0.1025,-0.34,0.34,9306112,80.12451386451721,,,,,-87.18598263390034,-1.2373923562731388,-10.406698969237304,-17.68063624041286,-1.292035261635434,22.53264996070238,0.55,-4.51115580538667,-16.146775442193785,-0.6120822015454775,19.588895720744055,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.02,10.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
21,q_wd01_tp08_slip10,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.004,0.01,0.35,9306112,83.21107125282288,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,10.0,False,True,False,False,none,mlp,0.001,0.08,0.0,0.0,0.0,0.02,0.0,0.99
22,q_wd01_tp05_slip5_annent,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.0585,-0.14,0.35,9306112,102.62680578231812,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.01,5.0,False,True,True,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
23,q_wd01_tp05_slip5_ent03,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.0937,-0.3,0.34,9306112,101.90077066421509,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.03,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
24,q_wd01_tp05_slip5_ent08,a40,holdout_robust_score,-148.80546525908358,0.2406,1.27,0.7179,85.0,-0.1115,-0.38,0.34,9306112,106.14256167411804,,,,,-148.80546525908358,1.307218837786462,-16.056730453633893,-43.519874001246045,-0.7443458897078336,48.58729927538701,0.45,4.2713182383621096,-37.48650017175535,0.8928973639515594,48.04213458751734,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.08,0.01,5.0,False,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
25,q_wd01_tp05_slip5_obsn,a40,holdout_robust_score,-50.0,0.0,0.0,0.0,0.0,-0.1229,-0.44,0.34,9306112,128.0205900669098,,,,,-50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.0003,0.05,0.01,5.0,True,True,False,False,none,mlp,0.001,0.05,0.0,0.0,0.0,0.02,0.0,0.99
